regione	popolazione	codice
Veneto	4907704	VEN
Valle d'Aosta	125501	VDA
Umbria	880285	UMB
Provincia autonoma di Trento	545497	PAT
Provincia autonoma di Bolzano	533349	PAB
Toscana	3722729	TOS
Sicilia	4968410	SIC
Sardegna	1630474	SAR
Puglia	4008296	PUG
Piemonte	4341375	PIE
Molise	302265	MOL
Marche	1518400	MAR
Lombardia	10103969	LOM
Liguria	1543127	LIG
Lazio	5865544	LAZ
Friuli-Venezia Giulia	1211357	FVG
Emilia-Romagna	4467118	EMR
Campania	5785861	CAM
Calabria	1924701	CAL
Basilicata	556934	BAS
Abruzzo	1305770	ABR